contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
QQQ250912C00350000,2025-08-28 13:40:00+00:00,350.0,226.85,232.67,236.25,0.0,0.0,,6,3.815430148925781,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00355000,2025-09-05 14:38:15+00:00,355.0,220.24,227.66,231.13,0.0,0.0,1.0,1,3.6767586206054688,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00360000,2025-09-05 14:38:03+00:00,360.0,215.09,222.97,226.3,0.0,0.0,1.0,1,2.5195349511718748,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00390000,2025-09-11 14:36:42+00:00,390.0,193.95,192.98,196.6,8.559998,4.617292,2.0,6,2.349613500976562,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00400000,2025-09-11 15:35:35+00:00,400.0,184.72,182.67,186.08,6.8899994,3.8744864,3.0,4,2.8886746533203125,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00405000,2025-08-11 18:41:00+00:00,405.0,171.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00410000,2025-09-05 14:35:44+00:00,410.0,164.84,172.7,176.04,0.0,0.0,2.0,2,2.7153352429199216,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00420000,2025-09-05 14:38:03+00:00,420.0,155.15,162.7,166.16,0.0,0.0,1.0,6,2.5952183557128907,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00425000,2025-08-29 17:51:18+00:00,425.0,145.42,157.99,161.09,0.0,0.0,1.0,5,1.484377578125,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00430000,2025-08-15 17:44:15+00:00,430.0,153.13,152.79,156.09,3.9500122,2.6478164,1.0,3,2.4189492651367184,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00435000,2025-09-05 15:41:07+00:00,435.0,140.16,147.71,151.02,0.0,0.0,5.0,10,2.3222698193359372,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00440000,2025-09-05 18:09:34+00:00,440.0,142.7,142.73,146.04,8.209991,6.1045365,1.0,2,2.252445775146484,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00445000,2025-09-10 19:33:18+00:00,445.0,134.58,137.69,141.29,0.0,0.0,8.0,4,2.2441450146484367,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00450000,2025-09-09 19:45:58+00:00,450.0,130.17,132.69,136.1,0.0,0.0,7.0,50,2.119145327148437,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00455000,2025-09-10 18:12:19+00:00,455.0,129.63,127.72,131.29,3.380005,2.6772316,1.0,5,2.0927782055664057,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00460000,2025-09-08 15:57:52+00:00,460.0,122.73,123.0,126.09,2.2800064,1.892907,5.0,9,1.15625421875,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00465000,2025-09-05 15:30:49+00:00,465.0,109.72,117.7,121.29,0.0,0.0,2.0,7,1.9428713793945316,True,REGULAR,USD,QQQ,2025-09-12
QQQ250912C00470000,2025-09-10 19:54:17+00:00,470.0,110.92,112.7,116.16,0.0,0.0,1.0,19,1.839356271972656,True,REGULAR,USD,QQQ,2025-09-12
