contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
SPY250911C00540000,2025-09-10 18:26:25+00:00,540.0,111.77,115.89,118.54,0.0,0.0,1,1,2.031254921875,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00570000,2025-09-10 19:16:04+00:00,570.0,81.4,87.44,87.61,0.0,0.0,2,1,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00580000,2025-09-10 15:28:20+00:00,580.0,72.8,77.34,77.62,0.0,0.0,447,67,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00585000,2025-09-11 14:47:21+00:00,585.0,72.39,72.51,72.68,18.369999,34.00592,502,1,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00595000,2025-08-29 15:09:46+00:00,595.0,60.42,62.34,62.62,9.75,19.242155,1,1,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00600000,2025-09-11 13:32:33+00:00,600.0,54.88,57.52,57.61,2.9400024,5.6603823,15,22,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00605000,2025-09-10 19:48:33+00:00,605.0,46.92,52.35,52.62,0.0,0.0,8,6,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00610000,2025-09-10 19:32:03+00:00,610.0,41.12,47.35,47.62,0.0,0.0,11,11,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00615000,2025-09-11 17:38:28+00:00,615.0,42.35,42.49,42.68,5.8799973,16.122833,29,44,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00616000,2025-09-10 14:50:15+00:00,616.0,38.32,41.52,41.66,0.5699997,1.509933,1,2,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00620000,2025-09-11 17:00:20+00:00,620.0,37.03,37.35,37.62,4.029999,12.212117,16,22,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00623000,2025-09-11 13:49:05+00:00,623.0,31.54,34.52,34.68,3.3400002,11.843971,3,2,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
SPY250911C00624000,2025-09-10 13:46:10+00:00,624.0,29.26,33.35,33.67,0.0,0.0,2,2,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-09-11
