contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
SPY250912P00375000,2025-09-11 15:24:58+00:00,375.0,0.01,0.0,0.01,0.0,0.0,1.0,1240,2.1875045312499997,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00380000,2025-08-28 19:51:41+00:00,380.0,0.01,0.0,0.01,0.0,0.0,100.0,301,2.1250046874999997,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00385000,2025-09-02 13:30:00+00:00,385.0,0.01,0.0,0.01,-0.01,-50.0,2.0,706,2.0625048437499998,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00390000,2025-08-29 17:23:15+00:00,390.0,0.01,0.0,0.01,0.0,0.0,25.0,1049,2.031254921875,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00395000,2025-08-29 13:40:26+00:00,395.0,0.01,0.0,0.01,0.0,0.0,100.0,104,1.96875015625,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00400000,2025-09-08 13:41:18+00:00,400.0,0.01,0.0,0.01,0.0,0.0,2.0,959,1.9375003125,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00405000,2025-09-02 18:22:35+00:00,405.0,0.01,0.0,0.01,0.0,0.0,577.0,226,1.875000625,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00410000,2025-09-03 13:56:56+00:00,410.0,0.01,0.0,0.01,0.0,0.0,620.0,873,1.8437507812499998,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00415000,2025-09-03 16:19:28+00:00,415.0,0.01,0.0,0.01,0.0,0.0,615.0,1067,1.8125009374999999,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00420000,2025-09-02 18:22:35+00:00,420.0,0.03,0.0,0.01,0.0,0.0,400.0,194,1.75000125,False,REGULAR,USD,SPY,2025-09-12
SPY250912P00425000,2025-09-03 19:05:47+00:00,425.0,0.01,0.0,0.01,0.0,0.0,50.0,273,1.71875140625,False,REGULAR,USD,SPY,2025-09-12
