date,close,high,low,open,volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2020-07-30,93.50333404541016,93.60782969927278,91.1484959328642,91.55676319653618,158130000
2020-07-31,103.29205322265625,103.44272272989053,98.00885320518057,100.0113203728721,374336800
2020-08-03,105.89476776123047,108.51935112132352,104.87895742584206,105.1778638999422,308151200
2020-08-04,106.60195922851562,107.69553697101213,105.36013709111648,106.08433124379282,173071600
2020-08-05,106.98834991455078,107.30913448125898,105.85588858029786,106.32248498790055,121776800
2020-08-06,110.72110748291016,111.2168648469505,106.73076760644739,107.32129786014727,202428800
2020-08-07,108.2037582397461,110.69917615288762,107.40522480472758,110.24147880055945,198045600
2020-08-10,109.77648162841797,110.79656040754556,107.12038216987283,109.65231698977226,212403600
2020-08-11,106.51174926757812,109.53789844079104,106.25125017767719,109.03881778751953,187902400
2020-08-12,110.05156707763672,110.30962917439052,107.4100748381834,107.6048361615065,165598000
2020-08-13,111.9992446899414,113.00471686377213,110.94507845537643,111.43442627597457,210082000
2020-08-14,111.89940643310547,111.98948374215101,110.08566073541384,111.82393585365277,165565200
2020-08-17,111.6072769165039,113.04853640766869,110.97916514281515,113.0241893774422,119561600
2020-08-18,112.53726959228516,112.96331658371079,111.02297655985981,111.35894623327408,105633600
2020-08-19,112.6784896850586,114.09540227558831,112.5835459170633,112.94629218270236,145538000
2020-08-20,115.17876434326172,115.2931886914799,112.7028193742301,112.71986303729176,126907200
2020-08-21,121.11422729492188,121.59870129234525,116.12825670148469,116.14042650285538,338054800
2020-08-24,122.5627670288086,125.41363550271217,120.69303108379322,125.32841718543504,345937600
2020-08-25,121.55731201171875,121.90302204479713,119.83121363784042,121.43315477540806,211495600
2020-08-26,123.21036529541016,123.66806272085745,121.80805955440918,122.87683252443458,163022400
2020-08-27,121.73746490478516,124.1476723660599,120.59078438962894,123.81413958938536,155552400
2020-08-28,121.5402603149414,123.13245352128918,121.31627804416574,122.71370987305927,187630000
2020-08-31,125.66194152832031,127.57063853613053,122.70153019505685,124.24017021395687,225702700
2020-09-01,130.6674041748047,131.27118380524524,127.11296048915095,129.28457897882038,151948100
2020-09-02,127.96017456054688,134.36792358657635,123.67536471875171,133.98813369086878,200119000
2020-09-03,117.71556091308594,125.46718052250692,117.34551135279557,123.58771183000317,257599600
2020-09-04,117.7934799194336,120.46174947786696,107.98709503336387,116.92677914209935,332607200
2020-09-08,109.8665771484375,115.87505597903306,109.73024268836703,110.96699312748366,231366600
2020-09-09,114.248779296875,116.02113476904711,112.24270866069972,114.19035236329198,176940500
2020-09-10,110.51902770996094,117.34552021964375,109.55494626315287,117.20918576977877,182274400
2020-09-11,109.06804656982422,112.21349439620566,107.12040288107737,111.5707684126771,180860300
2020-09-14,112.34008026123047,112.89515837432545,109.84709890131904,111.71683492125261,140150100
2020-09-15,112.51536560058594,115.71924004150326,110.6358893306761,115.23232916774082,184642000
2020-09-16,109.19461822509766,112.96331066061114,109.1069778434127,112.21347126407375,154679000
